公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,city,year,area
23060248,全家便利商店股份有限公司,84306434,民生東路分公司,臺北市中山區民生東路三段九十四號一樓,3,0820427,0920606,臺北市,82,中山區
23060248,全家便利商店股份有限公司,84307476,雙城分公司,臺北市中山區雙城街12之1號1樓,1,0820719,1060216,臺北市,82,中山區
23060248,全家便利商店股份有限公司,84309116,日津分公司,臺北市中山區正義里天津街47號1樓,1,0821220,1060215,臺北市,82,中山區
23060248,全家便利商店股份有限公司,84311871,吉星分公司,臺北市中山區吉林路２９４號１樓,3,0830706,0860214,臺北市,83,中山區
23060248,全家便利商店股份有限公司,84901476,錦江分公司,臺北市中山區錦州街215號1樓,1,0840105,1060216,臺北市,84,中山區
23060248,全家便利商店股份有限公司,86383358,錦州分公司,臺北市中山區錦州路２７６號１樓,3,0810511,0860430,臺北市,81,中山區
23060248,全家便利商店股份有限公司,86384032,林森北路分公司,臺北市中山區林森北路119巷49號1樓,1,0810722,1060217,臺北市,81,中山區
23060248,全家便利商店股份有限公司,89389813,江南分公司,臺北市中山區一江街二十一號１樓,3,0840221,0910306,臺北市,84,中山區
23060248,全家便利商店股份有限公司,89394386,龍江分公司,臺北市中山區龍江路２３８號１樓,3,0840512,0890519,臺北市,84,中山區
23060248,全家便利商店股份有限公司,89397031,松江分公司,臺北市中山區松江路六十七號１樓之１,3,0840626,0850605,臺北市,84,中山區
23060248,全家便利商店股份有限公司,89399066,四平分公司,臺北市中山區南京東路二段１１５巷１號１樓,3,0840727,0910715,臺北市,84,中山區
23060248,全家便利商店股份有限公司,89402029,雙城二分公司,臺北市中山區雙城街十六之１號１樓,3,0840907,0870825,臺北市,84,中山區
23060248,全家便利商店股份有限公司,90487756,台北市第七三一分公司,臺北市中山區復華里復興北路154號、154之1號、154之２號、156號1Ｆ,1,1101019,       ,臺北市,110,中山區
23060248,全家便利商店股份有限公司,90514439,台北市第七三O分公司,臺北市中山區中山里長春路15號1樓,1,1101006,       ,臺北市,110,中山區
23060248,全家便利商店股份有限公司,90677778,台北市第七四三分公司,臺北市中山區集英里民生西路33號1樓及45巷3弄4號1樓,1,1110127,       ,臺北市,111,中山區
23060248,全家便利商店股份有限公司,90682168,台北市第七一九分公司,臺北市中山區民安里中山北路二段60號,1,1100407,       ,臺北市,110,中山區
23060248,全家便利商店股份有限公司,91074156,台北市第七二五分公司,臺北市中山區集英里民權西路38之1號1樓及38號地下層,1,1100618,       ,臺北市,110,中山區
23060248,全家便利商店股份有限公司,96978575,大林分公司,臺北市中山區林森北路１３１號１樓,3,0850524,0900605,臺北市,85,中山區
23060248,全家便利商店股份有限公司,96978603,長春分公司,臺北市中山區長春路48號1樓,1,0850524,1060215,臺北市,85,中山區
23060248,全家便利商店股份有限公司,97164730,龍江二分公司,臺北市中山區龍江路八十五號１樓,6,0850905,0850905,臺北市,85,中山區
23060248,全家便利商店股份有限公司,97171697,永琦分公司,臺北市中山區南京東路二段四十九號１樓,3,0851216,0901206,臺北市,85,中山區
23060248,全家便利商店股份有限公司,97176638,長林分公司,臺北市中山區林森北路107巷54號1樓,1,0860303,1060217,臺北市,86,中山區
